model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,3500,64,8,4,16,0.005987637255875684,0.07737982460483923,0.07371550693621702,-0.2801898517230206
double_lstm_with_attention,500,64,16,4,32,0.006913727391514565,0.08314882675969977,0.07885245474020808,-0.4781930277274271
double_lstm_with_attention,500,64,8,4,32,0.003441370925213472,0.05866319907074172,0.0554476715505877,0.26421592588132914
double_lstm_with_attention,1000,64,16,4,32,0.004749315559014601,0.06891527812477144,0.06496971575670381,-0.015429846775435907
double_lstm_with_attention,1000,64,8,4,32,0.02079203253544605,0.14419442615942563,0.13533941614863837,-3.445451170652137
double_lstm_with_attention,1500,64,16,4,32,0.009934225501014,0.09967058493364028,0.09570059898717144,-1.123992173815516
double_lstm_with_attention,1500,64,8,4,32,0.00576050701375652,0.07589800401694712,0.0728372125234364,-0.23162815391893066
double_lstm_with_attention,2000,64,16,4,32,0.06949818329514218,0.2636250809296076,0.2565297675431526,-13.859094692204351
double_lstm_with_attention,2000,64,8,4,32,0.021910067287068454,0.1480204961722141,0.1361574067856724,-3.684493163634615
double_lstm_with_attention,2500,64,16,4,32,0.006517936251831504,0.0807337367637068,0.07669450093305576,-0.3935707002931905
double_lstm_with_attention,2500,64,8,4,32,0.0077065211943423036,0.08778679396322833,0.08077935278851597,-0.6476967129904279
double_lstm_with_attention,3000,64,16,4,32,0.0059680090308948264,0.0772528901135409,0.07308318981492573,-0.27599322902294454
double_lstm_with_attention,3000,64,8,4,32,0.01260188858562739,0.11225813371701576,0.10716515266887514,-1.6943532466054436
double_lstm_with_attention,3500,64,16,4,32,0.0034184617583009336,0.05846761290065581,0.055074024429641634,0.2691140320523535
double_lstm_with_attention,3500,64,8,4,32,0.008091635647352848,0.0899535193716891,0.08147512305735971,-0.7300363059596182
double_lstm_with_attention,500,64,16,4,64,0.0012418676040723527,0.035240141941716874,0.03200988694234855,0.7344818605440889
double_lstm_with_attention,500,64,8,4,64,0.006820549077426182,0.08258661560704726,0.0784464201533482,-0.45827099053662135
double_lstm_with_attention,1000,64,16,4,64,0.0014244398579182505,0.037741752183997106,0.032314139228147166,0.6954469062555071
double_lstm_with_attention,1000,64,8,4,64,0.003116763234574117,0.055827978958351315,0.0520094361065865,0.3336188395164126
double_lstm_with_attention,1500,64,16,4,64,0.008013210795789658,0.0895165392304107,0.08426822748049213,-0.7132686403840927
double_lstm_with_attention,1500,64,8,4,64,0.005913910785643307,0.0769019556685219,0.0727585486298639,-0.2644267259755102
double_lstm_with_attention,2000,64,16,4,64,0.014848892761984001,0.12185603293224345,0.11619214096379826,-2.1747751259583006
