model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,2000,64,32,4,8,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,2000,64,16,4,8,0.006054625349880674,0.07781147312498764,0.07236079628912831,0.11455620459748228
double_lstm_with_attention,2000,64,8,4,8,0.003732168701210275,0.061091478139019315,0.05526400828528138,0.454198166043876
double_lstm_with_attention,2500,64,4,4,8,0.000571264276133659,0.02390113545699574,0.020001481716867157,0.9164568607291899
double_lstm_with_attention,2500,64,32,4,8,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,2500,64,16,4,8,0.0019967665034205523,0.04468519333538294,0.03433260057330353,0.7079877929431004
double_lstm_with_attention,2500,64,8,4,8,0.0036378176241661027,0.06031432354064914,0.055312168317750814,0.46799630728806596
double_lstm_with_attention,3000,64,4,4,8,0.001450392549227605,0.03808401960439057,0.03199562266914115,0.787890908289324
double_lstm_with_attention,3000,64,32,4,8,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,3000,64,16,4,8,0.011060544222899855,0.10516912200308537,0.0946766096221795,-0.6175220909638699
double_lstm_with_attention,3000,64,8,4,8,0.004583009829787708,0.06769793076444588,0.061267599349448976,0.32976899749308997
double_lstm_with_attention,3500,64,4,4,8,0.01095839624625182,0.10468235881108058,0.09614476324392161,-0.6025837113104191
double_lstm_with_attention,3500,64,32,4,8,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,500,64,4,4,16,0.0018029678014330399,0.042461368341505906,0.0369597916280308,0.7363294075461058
double_lstm_with_attention,3500,64,16,4,8,0.010332826906172238,0.10165051355587063,0.09417033115447092,-0.5110988615040755
double_lstm_with_attention,3500,64,8,4,8,0.0008576040999242848,0.02928487834914608,0.022698314794082828,0.8745817973353736
double_lstm_with_attention,500,64,32,4,16,0.006661055674822753,0.08161529069250904,0.0747181287596003,0.025870292995291977
double_lstm_with_attention,1000,64,4,4,16,0.007613250598354125,0.08725394316794012,0.08178420526256727,-0.11338111206005874
double_lstm_with_attention,500,64,16,4,16,0.008299311241508352,0.09110055565971237,0.08366837823418138,-0.21371236373077407
double_lstm_with_attention,500,64,8,4,16,0.0062794003709406125,0.07924266761625717,0.07470187067197655,0.08168453438539969
double_lstm_with_attention,1000,64,32,4,16,0.0248750711908141,0.1577183286457668,0.14767393033507045,-2.6377936161708746
double_lstm_with_attention,1500,64,4,4,16,0.007502182235392152,0.08661513860401167,0.08126847504394127,-0.0971381924461916
double_lstm_with_attention,1000,64,16,4,16,0.009519168230711833,0.09756622484605948,0.0914692370422754,-0.39210734937425484
double_lstm_with_attention,1000,64,8,4,16,0.001745175923982103,0.04177530279940653,0.03420384940349655,0.7447810385482789
double_lstm_with_attention,1500,64,32,4,16,0.00793066113509669,0.0890542595000188,0.08232975360425626,-0.1598000354637381
double_lstm_with_attention,2000,64,4,4,16,0.0009193940083838358,0.03032151065471237,0.023844375694610506,0.8655454841198784
double_lstm_with_attention,2000,64,32,4,16,0.027880235819584615,0.16697375787705268,0.15447078374625864,-3.0772765273241474
double_lstm_with_attention,1500,64,16,4,16,0.00789307064349505,0.08884295494576398,0.08216337320356451,-0.15430270645799538
double_lstm_with_attention,1500,64,8,4,16,0.006981600977667307,0.08355597511648886,0.0751033683315612,-0.021007066568289545
double_lstm_with_attention,2500,64,4,4,16,0.003790959294336096,0.06157076655634633,0.056072386702921855,0.44560048032376487
double_lstm_with_attention,2500,64,32,4,16,0.0034354735900369673,0.05861291316797833,0.04638975757022111,0.4975876129763509
double_lstm_with_attention,2000,64,16,4,16,0.005538041541015266,0.0744180189269727,0.06932174982522095,0.1901027333970371
double_lstm_with_attention,2000,64,8,4,16,0.00044130239589093144,0.02100719866833585,0.017166261224049295,0.9354628163168525
double_lstm_with_attention,3000,64,4,4,16,0.002526156550047264,0.05026088489120804,0.04476218793667213,0.6305684473938816
