model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,3500,256,16,16,16,0.0009029669727198,0.0300494088580764,0.027307472501739,0.8679478155549398
double_lstm_with_attention,3500,256,16,16,32,0.0001639252432297,0.0128033293806612,0.0112679558757416,0.9760271559113975
double_lstm_with_attention,3500,256,16,16,64,0.0002030657440714,0.0142501138266147,0.0126517617000076,0.9703031496159495
double_lstm_with_attention,3500,256,16,32,4,4.156828971956716e-05,0.0064473474948669,0.0048104133759915,0.9939209476902794
double_lstm_with_attention,3500,256,16,32,8,0.0001237801269173,0.0111256517524763,0.0097177815300609,0.9818980797258926
double_lstm_with_attention,3500,256,16,32,16,4.135212896106799e-05,0.006430562103041,0.0047869664440298,0.9939525595888468
double_lstm_with_attention,3500,256,16,32,32,6.326797453768028e-05,0.0079541168295216,0.0060800447196393,0.9907475306456116
double_lstm_with_attention,3500,256,16,32,64,0.0002975809309521,0.0172505342222253,0.0158464917817542,0.9564810085322796
double_lstm_with_attention,3500,256,16,64,4,4.0180497275800315e-05,0.0063388088215216,0.0046957165491679,0.9941239019835064
double_lstm_with_attention,3500,256,16,64,8,0.0002142730111372,0.0146380671926734,0.0132801006790599,0.968664170403639
double_lstm_with_attention,3500,256,16,64,16,0.0001436176417158,0.0119840578151075,0.010199135096776,0.9789969911564986
double_lstm_with_attention,3500,256,16,64,32,7.375956754747833e-05,0.0085883390447442,0.006668267870644,0.9892132134257036
double_lstm_with_attention,3500,256,16,64,64,9.375950669746528e-05,0.0096829492768198,0.007804921147501,0.9862883715064372
double_lstm_with_attention,3500,256,32,4,4,9.99411877447094e-05,0.0099970589547481,0.0079881732487923,0.9853843467630156
double_lstm_with_attention,3500,256,32,4,8,0.000132245312616,0.0114997961988921,0.0097845754710229,0.9806601094600744
double_lstm_with_attention,3500,256,32,4,16,4.839945859722965e-05,0.0069569719416733,0.0051898516460606,0.9929219401962496
double_lstm_with_attention,3500,256,32,4,32,5.453564550225586e-05,0.0073848253535378,0.0054841420471194,0.9920245686317825
double_lstm_with_attention,3500,256,32,4,64,0.0007169175271607,0.0267753156313935,0.024415001863584,0.8951561592077187
