model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,2000,128,64,32,16,0.0009454907795695,0.030748833792024,0.0273719299888693,0.7978488593785791
double_lstm_with_attention,2000,128,64,32,32,0.0021001589993914,0.0458274917423094,0.043374157650639,0.5509744289557008
double_lstm_with_attention,2000,128,64,32,64,0.0005435493341538,0.0233141445082986,0.0208941321164099,0.883786156081565
double_lstm_with_attention,2000,128,64,64,4,0.0126319919930416,0.112392134925188,0.1073394803987964,-1.70078952105347
double_lstm_with_attention,2000,128,64,64,8,0.0020878007965643,0.0456924588588131,0.0394415243675012,0.5536166808438358
double_lstm_with_attention,2000,128,64,64,16,0.0017745716891143,0.0421256654441727,0.0414654372399854,0.6205867906694099
double_lstm_with_attention,2000,128,64,64,32,0.0022719328205147,0.047664796448897,0.0402777503133564,0.5142482391087793
double_lstm_with_attention,2000,128,64,64,64,0.0027528125622691,0.0524672522843458,0.0499821080623326,0.4114334995069307
double_lstm_with_attention,2000,256,4,4,4,6.012455926909241e-05,0.0077540027901137,0.0057679703323081,0.9871450377959888
double_lstm_with_attention,2000,256,4,4,8,0.000340860119634,0.0184623974508752,0.0172214138184546,0.9271222274555054
double_lstm_with_attention,2000,256,4,4,16,7.968456764104322e-05,0.0089266212892136,0.0076795150247009,0.982963000182936
double_lstm_with_attention,2000,256,4,4,32,6.055471883947879e-05,0.0077816912582984,0.0061024303924962,0.9870530673086166
double_lstm_with_attention,2000,256,4,4,64,0.0003384977103513,0.0183983072686426,0.0171866029188387,0.9276273235827558
double_lstm_with_attention,2000,256,4,8,4,5.4265462511689595e-05,0.0073665095202334,0.0059451770028473,0.988397744980568
double_lstm_with_attention,2000,256,4,8,8,6.63554925338535e-05,0.0081458880752103,0.0068443056207948,0.9858128299164144
double_lstm_with_attention,2000,256,4,8,16,4.9309564408514966e-05,0.0070220769298345,0.005600617575239,0.9894573433140562
double_lstm_with_attention,2000,256,4,8,32,7.417966013659947e-05,0.0086127614698538,0.0070369316437272,0.98413997975279
double_lstm_with_attention,2000,256,4,8,64,0.0003326653140677,0.0182391149474911,0.0119013779508114,0.92887432205885
double_lstm_with_attention,2000,256,4,16,4,0.0004508992816631,0.0212343891285606,0.0193653267686037,0.9035952480307824
double_lstm_with_attention,2000,256,4,16,8,0.0003664715727084,0.0191434472524797,0.0173128414514012,0.9216463576069204
double_lstm_with_attention,2000,256,4,16,16,8.578933713260757e-05,0.0092622533507029,0.0065162538972956,0.9816577668135396
double_lstm_with_attention,2000,256,4,16,32,0.000114783988826,0.0107137289878962,0.0094821491560438,0.9754585504505556
double_lstm_with_attention,2000,256,4,16,64,5.455710208338437e-05,0.007386277958714,0.0058756151953188,0.9883353908324978
double_lstm_with_attention,2000,256,4,32,4,0.0007187612626969,0.0268097232864678,0.0254581426555244,0.846324879915972
double_lstm_with_attention,2000,256,4,32,8,0.000102932612444,0.0101455710753026,0.0089059912081293,0.9779924400508964
double_lstm_with_attention,2000,256,4,32,16,0.0009365465347815,0.030603047802164,0.0291765645842106,0.799761188218751
double_lstm_with_attention,2000,256,4,32,32,0.0005154539468061,0.0227036108759409,0.0179153782244977,0.8897931047702895
double_lstm_with_attention,2000,256,4,32,64,3.57185818498111e-05,0.0059765024763494,0.004418067097847,0.9923631703044145
double_lstm_with_attention,2000,256,4,64,4,5.579038739797978e-05,0.0074692963121019,0.006045999277044,0.9880717076338412
double_lstm_with_attention,2000,256,4,64,8,8.05637078218508e-05,0.0089757288184219,0.0074400165778427,0.9827750351660828
double_lstm_with_attention,2000,256,4,64,16,0.0001450879659432,0.012045246611974,0.0101716298403608,0.9689793930944224
double_lstm_with_attention,2000,256,4,64,32,3.924552190647575e-05,0.0062646246421055,0.0046190329365329,0.991609091078298
double_lstm_with_attention,2000,256,4,64,64,0.0007324263911018,0.0270633773040586,0.0233279897684958,0.843403200134982
double_lstm_with_attention,2000,256,8,4,4,0.0002552683667626,0.0159771201022784,0.0149375047608701,0.945422216037762
double_lstm_with_attention,2000,256,8,4,8,0.0002630208966283,0.0162179189980806,0.0095825516859371,0.9437646824172214
double_lstm_with_attention,2000,256,8,4,16,0.0001158048543588,0.010761266391966,0.0096454379554413,0.975240283772202
double_lstm_with_attention,2000,256,8,4,32,0.0001230747319908,0.0110939051731484,0.0099569802498116,0.973685943859817
double_lstm_with_attention,2000,256,8,4,64,0.0002964977851049,0.0172191110428194,0.0117938996038188,0.936607139121992
double_lstm_with_attention,2000,256,8,8,4,4.714592976966583e-05,0.0068662893741573,0.0053744237706027,0.9899199403267216
double_lstm_with_attention,2000,256,8,8,8,9.642657222287664e-05,0.0098197032655206,0.0073031607338843,0.979383467314252
double_lstm_with_attention,2000,256,8,8,16,8.744550174550674e-05,0.0093512299589683,0.0080593863828382,0.9813036696898144
double_lstm_with_attention,2000,256,8,8,32,3.4896894191749074e-05,0.0059073593247532,0.0043449806898993,0.9925388516552016
double_lstm_with_attention,2000,256,8,8,64,0.0006545096374614,0.0255833859655327,0.0245335113638036,0.8600622315737669
double_lstm_with_attention,2000,256,8,16,4,4.662863532098665e-05,0.0068285163338009,0.0051621626561009,0.9900305407313972
double_lstm_with_attention,2000,256,8,16,8,0.0002824869338019,0.0168073476135264,0.0102049667826137,0.9396027363643836
double_lstm_with_attention,2000,256,8,16,16,3.804606071615897e-05,0.0061681488889422,0.0046028043128429,0.9918655424927304
double_lstm_with_attention,2000,256,8,16,32,0.0003768063673947,0.0194115009052555,0.0132912155957297,0.91943672153319
double_lstm_with_attention,2000,256,8,16,64,4.4019487579995225e-05,0.0066347183497112,0.0050865837457626,0.9905883909011592
double_lstm_with_attention,2000,256,8,32,4,0.0004712118234204,0.0217074140196499,0.0170115157251751,0.8992523146316423
double_lstm_with_attention,2000,256,8,32,8,7.122306843806447e-05,0.0084393760692402,0.0071772118029089,0.9847721153559345
double_lstm_with_attention,2000,256,8,32,16,0.0001053681379129,0.0102648983391451,0.0082577531612553,0.9774717112799736
double_lstm_with_attention,2000,256,8,32,32,0.0003005560521024,0.0173365524860758,0.016349632910881,0.93573945926702
double_lstm_with_attention,2000,256,8,32,64,4.3453725099077805e-05,0.0065919439544854,0.0050927172972587,0.990709354038304
double_lstm_with_attention,2000,256,8,64,4,0.0001031968474534,0.0101585849139276,0.0089969226326144,0.9779359451492976
double_lstm_with_attention,2000,256,8,64,8,0.0003361569556449,0.0183345835961711,0.0118469408052273,0.9281277898422248
double_lstm_with_attention,2000,256,8,64,16,3.824778258621386e-05,0.0061844791685487,0.0045803848564931,0.9918224132449356
double_lstm_with_attention,2000,256,8,64,32,0.0005100375623459,0.022584011210277,0.0177932050571499,0.8909511576253121
double_lstm_with_attention,2000,256,8,64,64,0.0004544423271467,0.021317652946484,0.0197046939544701,0.9028377253756052
double_lstm_with_attention,2000,256,16,4,4,0.0004411686912343,0.0210040160739396,0.0198573265358095,0.9056757019036384
double_lstm_with_attention,2000,256,16,4,8,5.2656129011900005e-05,0.0072564543002695,0.0057737466481485,0.9887418293541574
double_lstm_with_attention,2000,256,16,4,16,0.0009211217567939,0.0303499877560763,0.0291883711847638,0.8030590907804613
double_lstm_with_attention,2000,256,16,4,32,5.425407014358732e-05,0.0073657362254962,0.0059066276104366,0.988400180731668
double_lstm_with_attention,2000,256,16,4,64,0.0001577403181905,0.0125594712544191,0.0114935659812091,0.966274250438772
double_lstm_with_attention,2000,256,16,8,4,7.895878510951765e-05,0.0088858755961085,0.006646180890042,0.9831181764889996
double_lstm_with_attention,2000,256,16,8,8,0.000433402755745,0.0208183274002743,0.0151654865498375,0.9073361017204084
double_lstm_with_attention,2000,256,16,8,16,4.9076117815911245e-05,0.0070054348770016,0.0053178406309882,0.9895072554824124
