model,epochs,batchsize,units1,units2,MSE,RMSE,MAE,AR2
double_lstm,500,128,4,32,0.0006363845181098061,0.025226662841323386,0.023347206741283554,0.8639374820045489
double_lstm,500,128,4,64,6.637642042980984e-05,0.008147172542042414,0.0059859494767074365,0.9858083554168955
double_lstm,500,128,8,4,0.0017938125450641072,0.04235342424248725,0.03963373383415334,0.6164729896035318
double_lstm,500,128,8,8,9.721849349917303e-05,0.009859943889250742,0.007693800610443115,0.9792141501799712
double_lstm,500,128,8,16,0.0004693794552392299,0.021665166863867675,0.016235594347720546,0.8996440850495941
double_lstm,500,128,8,32,0.0011680930743488097,0.03417737664521386,0.03287808477354719,0.7502552616757354
double_lstm,500,128,8,64,0.001242003816968684,0.03524207452702925,0.033040032122988235,0.7344527374759896
double_lstm,500,128,16,4,0.00013488739050708756,0.01161410308663943,0.010032603567049141,0.9711603323526119
double_lstm,500,128,16,8,0.00021375104097751411,0.014620227117849919,0.013200557489450662,0.9542988491518721
double_lstm,500,128,16,16,0.00010958638068642962,0.01046835138340463,0.008202617588808449,0.9765698277222531
double_lstm,500,128,16,32,0.0004393592206041549,0.020960897418864366,0.01953919567479601,0.9060625766989426
double_lstm,500,128,16,64,0.012631973236402187,0.11239205148230985,0.10733940001064167,-1.7007855107805536
double_lstm,500,128,32,4,0.004828099120118703,0.06948452432102203,0.046501493396730625,-0.032274206428168695
double_lstm,500,128,32,8,5.685001546675567e-05,0.007539894924119014,0.005980078340532688,0.9878451533116139
double_lstm,500,128,32,16,0.01263199715340058,0.1123921578821253,0.10733950152554203,-1.7007906243666513
double_lstm,500,128,32,32,6.0688417487469345e-05,0.007790277112367014,0.006087463501727247,0.9870244818006721
double_lstm,500,128,32,64,0.010358749760352651,0.1017779433883032,0.09677589206235074,-1.214757800621359
double_lstm,500,128,64,4,0.01263198386617481,0.1123920987711094,0.10733944512837516,-1.7007877834845364
double_lstm,500,128,64,8,0.005840052266430945,0.07642023466615988,0.044287596459232394,-0.24863536742816827
double_lstm,500,128,64,16,0.012631938758744346,0.11239189810099456,0.1073392543603719,-1.7007781392672516
double_lstm,500,128,64,32,0.011829718790328158,0.1087645107115743,0.08455087240907451,-1.529259087840385
double_lstm,500,128,64,64,0.012631973236402187,0.11239205148230985,0.10733940001064167,-1.7007855107805536
double_lstm,500,256,4,4,5.162163296338932e-05,0.007184819619405161,0.005613137601779091,0.9889630103119136
double_lstm,500,256,4,8,7.568702257758144e-05,0.008699828882086213,0.0071842599380785525,0.9838176973536817
double_lstm,500,256,4,16,4.2840286277028474e-05,0.006545249137888372,0.004841483582702745,0.9908405106399953
double_lstm,500,256,4,32,0.0016604857206240365,0.04074905791087736,0.038603013739010886,0.6449789996232843
double_lstm,500,256,4,64,0.00026812659089162083,0.01637457147199953,0.015177444037737279,0.9426730568389546
double_lstm,500,256,8,4,3.9984737949059765e-05,0.006323348634154198,0.0047055799391173955,0.9914510426135185
double_lstm,500,256,8,8,7.924471836431727e-05,0.008901950256225725,0.00727083012006082,0.9830570423829372
double_lstm,500,256,8,16,3.488222283233918e-05,0.005906117407598598,0.004328106249293956,0.9925419884727184
double_lstm,500,256,8,32,0.0009175691110975603,0.030291403254018464,0.02902866089244008,0.8038186660140592
double_lstm,500,256,8,64,0.0002128879441005843,0.014590680042430658,0.013470377369847684,0.9544833840219188
double_lstm,500,256,16,4,0.00018285099889682216,0.013522240897751458,0.012282270229033504,0.9609054484829684
double_lstm,500,256,16,8,4.573018993854038e-05,0.006762410068795028,0.00518363098350857,0.9902226333067794
double_lstm,500,256,16,16,7.074159892174367e-05,0.008410802513538387,0.007072501553750517,0.9848750561925896
double_lstm,500,256,16,32,0.0015595222490329408,0.03949078688799377,0.038358596271663055,0.6665655464032867
double_lstm,500,256,16,64,0.00032685213988777815,0.018079052516317834,0.01225868998871006,0.9301172107432397
double_lstm,500,256,32,4,0.0008244678401220779,0.02871354802392205,0.02748990504413632,0.823724230962632
double_lstm,500,256,32,8,0.01607422275166359,0.12678415812578317,0.12075938890262136,-2.4367574322946366
double_lstm,500,256,32,16,0.01607461402904555,0.12678570120106428,0.12076079956560723,-2.436841089555788
double_lstm,500,256,32,32,0.01607440407449307,0.12678487320849072,0.12076004262449286,-2.4367962001151073
double_lstm,500,256,32,64,5.056015575719409e-05,0.007110566486377446,0.005544160719356729,0.9891899599899144
double_lstm,500,256,64,4,0.016074553587385184,0.12678546283933811,0.12076058165831673,-2.4368281667956215
double_lstm,500,256,64,8,0.0160757847201953,0.12679031792765288,0.12076502008576008,-2.437091389776955
double_lstm,500,256,64,16,0.016074553587385184,0.12678546283933811,0.12076058165831673,-2.4368281667956215
double_lstm,500,256,64,32,0.04510062849496723,0.212369085544406,0.20148570331667898,-8.642762986172773
double_lstm,500,256,64,64,0.008331395405582226,0.09127647783291282,0.08605530491317372,-0.7812982639273647
double_lstm,500,512,4,4,3.7238251295458785e-05,0.006102315240583593,0.0043984446498195546,0.9920382565998671
double_lstm,500,512,4,8,0.0003269537036065886,0.01808186117651025,0.01674154130470407,0.9300954958602954
double_lstm,500,512,4,16,0.00018591807023040952,0.013635177675058346,0.01259468065877731,0.9602496917248389
double_lstm,500,512,4,32,3.520020049768212e-05,0.005932975686591183,0.004374107125776023,0.9924740030950392
double_lstm,500,512,4,64,0.00010083507992820193,0.010041667188679474,0.00860360661362533,0.978440904065274
double_lstm,500,512,8,4,0.00040523739947457844,0.020130509170773064,0.019178124811207165,0.9133580101505143
double_lstm,500,512,8,8,4.187479986875676e-05,0.006471074089264993,0.00499379508775977,0.9910469369562578
double_lstm,500,512,8,16,0.00032793935144321916,0.01810909582069793,0.017210422789572726,0.9298847589195115
double_lstm,500,1024,4,4,0.00017488940493075764,0.013224575793981357,0.011966944278587617,0.9626076811606233
double_lstm,500,512,8,32,4.946049792050869e-05,0.007032815788893428,0.005533083542292371,0.989425072897182
double_lstm,500,1024,4,8,0.0003110987138034556,0.017637990639623766,0.01652407937744045,0.9334853800796884
double_lstm,1000,256,4,4,3.6570246948413965e-05,0.0060473338710884785,0.00447020939569497,0.992181079611591
double_lstm,500,512,8,64,3.540174007109952e-05,0.005949936140085835,0.004411318126364799,0.9924309128232703
